Word,Score
eases,37996
seres,37867
sales,36982
sises,36868
sanes,36771
seles,36722
sates,36669
sores,36541
rases,36525
senes,36511
asses,36491
esses,36432
reses,36265
oases,36161
seers,35943
sears,35922
tases,35836
slaes,35806
sades,35708
lases,35679
suses,35519
sires,35506
eales,35489
saree,35460
sedes,35448
leses,35419
sames,35399
soles,35396
arses,35311
erses,35252
sasse,35242
seats,35225
seels,35200
sones,35185
seals,35179
rares,35163
snees,35146
semes,35139
sease,35079
roses,34939
sages,34927
soras,34913
senas,34883
sabes,34874
seans,34869
cases,34830
sakes,34736
pases,34732
saros,34704
soars,34596
ooses,34575
saris,34564
mases,34549
tares,34474
serrs,34463
bases,34416
siles,34361
lares,34317
meses,34289
sairs,34256
toses,34250
teres,34214
safes,34188
saser,34177
gases,34169
sures,34157
beses,34156
sines,34150
sloes,34144
spaes,34109
loses,34093
seeds,34084
smees,34070
leres,34057
sites,34048
rales,34018
aedes,34014
seirs,33996
yeses,33940
saves,33934
rises,33904
easts,33895
soree,33874
areas,33801
samas,33771
solas,33768
sessa,33765
soces,33746
nares,33738
esnes,33714
rates,33705
seeps,33618
dares,33609
resee,33598
seems,33585
rores,33577
seams,33564
sazes,33553
skees,33553
saags,33520
noses,33514
sails,33513
cares,33468
saxes,33440
wases,33429
doses,33385
pares,33370
deres,33349
sties,33339
tales,33329
sagas,33299
seeks,33262
seare,33255
seils,33253
coses,33244
trees,33210
ceres,33208
swees,33205
sains,33203
casas,33202
snies,33199
mares,33187
sexes,33180
seise,33153
sokes,33150
poses,33146
peres,33110
satis,33106
sides,33087
teles,33069
raias,33068
bares,33054
tates,33016
aeros,33010
moses,32963
lanes,32961
rears,32958
sarus,32932
meres,32927
masas,32921
vases,32904
tores,32888
salts,32881
sards,32864
tenes,32858
taras,32846
siree,32839
hares,32823
sials,32818
gares,32807
arles,32804
reais,32799
beres,32794
sists,32767
tetes,32756
toeas,32740
salse,32735
lores,32731
aures,32723
sices,32711
aloes,32710
lenes,32701
easer,32684
sants,32670
sesey,32667
mesas,32661
sipes,32648
sheas,32640
epees,32637
loess,32631
tosas,32622
hoses,32599
oasis,32598
teras,32586
shoes,32585
apses,32578
sells,32575
heres,32563
ruses,32555
serer,32555
geres,32547
ernes,32534
siens,32529
suras,32529
raree,32496
sodas,32494
earls,32487
redes,32484
semee,32472
dales,32464
eaves,32441
sorts,32440
roles,32432
sents,32410
saids,32397
laers,32393
races,32368
drees,32345
slues,32343
arras,32321
shies,32321
setts,32308
rapes,32305
teers,32290
sados,32285
nates,32280
rasse,32278
soaps,32271
tears,32269
sense,32264
soots,32237
reels,32236
suers,32233
pales,32225
koses,32222
rones,32221
reals,32215
fares,32214
crees,32204
deles,32204
sools,32191
somas,32185
spies,32183
ranas,32179
earns,32177
rests,32164
dates,32151
sadis,32145
leers,32133
nenes,32122
akees,32119
rotes,32119
socas,32118
sikes,32115
setae,32114
canes,32112
lears,32112
pises,32111
naras,32110
prees,32106
sorns,32084
ratas,32077
wares,32067
oasts,32060
soyas,32050
males,32042
sarks,32042
dores,32023
stoss,32023
sauts,32022
netes,32020
panes,32014
cates,32010
arars,32004
denes,31993
kaies,31979
sauls,31976
stoas,31975
solos,31973
peles,31965
rages,31963
saics,31959
feres,31954
siris,31943
soare,31929
mises,31928
soils,31927
reens,31926
soaks,31915
pates,31912
bales,31909
reans,31905
lades,31898
saims,31898
cores,31882
stars,31861
arias,31854
tires,31853
ashes,31850
manes,31831
taels,31807
serre,31796
bises,31795
brees,31790
taals,31786
pores,31784
serks,31782
aeons,31773
rakes,31772
braes,31769
dosas,31757
penes,31754
cetes,31750
arsis,31748
tames,31746
toles,31743
paras,31742
mates,31729
snars,31721
slats,31705
reges,31703
talas,31701
banes,31698
yales,31693
easel,31692
taces,31679
hales,31678
isles,31671
gales,31662
sobas,31660
aides,31653
laree,31650
ledes,31638
roars,31632
tress,31630
tapes,31616
trass,31609
skies,31606
mores,31601
bates,31596
lames,31589
tasse,31589
lasts,31578
semis,31576
roues,31573
teats,31572
menes,31571
maras,31559
teels,31547
grees,31543
vares,31542
suets,31536
nears,31533
tones,31532
teals,31526
laces,31522
salsa,31518
rekes,31512
sands,31508
sagos,31504
tanas,31490
besee,31489
temes,31486
synes,31480
tests,31475
metes,31469
bores,31468
saner,31459
sidas,31459
benes,31438
leets,31436
totes,31430
tease,31426
deers,31425
heles,31418
leats,31415
dears,31404
ayres,31402
riles,31397
yates,31380
eards,31371
aunes,31367
hates,31365
sared,31354
gates,31349
sassy,31347
sorus,31346
eyres,31343
betes,31336
lanas,31333
lemes,31329
arets,31328
lests,31318
sansa,31307
kales,31301
supes,31299
leese,31290
sords,31278
lotes,31273
lease,31269
tries,31263
toras,31260
swies,31258
salps,31253
yores,31252
sends,31248
segos,31244
maars,31242
teens,31237
sorer,31229
eased,31223
eyass,31222
gores,31221
tabes,31221
apres,31216
raser,31213
acres,31196
genes,31191
peers,31186
rines,31186
stets,31185
easle,31182
sakis,31173
pears,31165
stats,31164
rodes,31158
simas,31150
desis,31148
claes,31147
ranee,31140
areae,31134
sours,31133
reeds,31120
hetes,31105
erase,31102
reads,31099
auras,31095
sered,31094
kanes,31090
rites,31084
takes,31083
resus,31070
leans,31059
serfs,31058
sekos,31053
taros,31051
cades,31049
pesos,31049
sensa,31047
amass,31035
names,31010
noles,31007
meers,31003
sofas,30974
sects,30971
raves,30970
arnas,30965
nalas,30965
tsars,30965
frees,30950
styes,30943
silos,30938
sonse,30938
sizes,30932
rusas,30927
lakes,30926
wales,30922
daals,30921
orles,30910
septs,30908
eorls,30901
seame,30897
yaars,30893
dames,30881
napes,30880
doles,30878
haars,30878
beers,30870
kores,30860
fanes,30858
leges,30857
basis,30853
bears,30849
salet,30848
cires,30847
rosts,30838
neats,30836
stens,30829
sixes,30819
alias,30818
karas,30818
daces,30814
wises,30808
snyes,30803
nones,30796
rasps,30796
neals,30790
cedes,30789
antes,30774
dress,30765
puses,30762
fates,30756
blees,30754
laris,30754
nanas,30754
cames,30740
naans,30740
nests,30739
coles,30737
blaes,30733
casts,30729
deets,30728
ketes,30728
disas,30722
ropes,30719
neese,30711
wanes,30711
tiles,30708
speos,30707
sangs,30705
spars,30705
caese,30701
notes,30694
pedes,30691
amies,30689
scars,30685
paals,30682
rayas,30672
tyees,30663
deals,30661
idees,30649
spues,30646
poles,30639
reaps,30633
years,30633
pasts,30631
fores,30628
cress,30624
demes,30621
hears,30618
thees,30615
capes,30610
soops,30609
oaves,30606
crass,30603
gears,30602
reams,30600
palas,30597
